Water level,Rainfall,Temperature,Pressure (hPa),Humidity,Flood probability
7,0,71,1024,37,0.136496
9,7,22,837,63,0.058479
6,1,53,1000,25,0.401408
7,0,7,1020,36,0.437041
1,0,45,1005,40,0.956181
3,1,25,1013,85,0.944494
4,8,34,1010,82,0.03309
4,1,49,1018,5,0.351027
6,2,77,1015,93,0.788646
5,1,91,1024,79,0.210575
0,0,87,1012,26,0.126498
6,1,45,1021,97,0.684015
1,5,34,1008,66,0.19545
5,6,34,1001,58,0.45146
7,4,11,1019,72,0.01692
5,6,1,1000,60,0.352454
8,8,31,1019,26,0.652782
2,8,69,1003,86,0.852553
3,4,51,1012,54,0.019752
1,1,19,1000,24,0.806809
3.5,10,25,1013,70,0.35
2.7,5,18,1015,65,0.15
4.2,15,28,1010,80,0.65
5.1,20,32,1005,85,0.85
1.8,2,12,1018,50,0.05
2.5,4,16,1012,60,0.1
3.3,6,20,1007,70,0.25
4.1,8,24,1002,80,0.45
4.9,10,28,997,90,0.75
5.7,12,32,992,95,0.95
1.9,3,14,1020,55,0.1
2.6,5,18,1016,65,0.15
3.4,7,22,1011,75,0.25
4.2,9,26,1006,85,0.45
5,11,30,1001,90,0.75
5.8,13,34,996,95,0.95
2,4,16,1021,60,0.1
2.7,6,20,1017,70,0.15
3.5,8,24,1012,80,0.25
4.3,10,28,1007,90,0.45
5.1,12,32,1002,95,0.75
2.8,7,21,1014,60,0.2
3.6,11,25,1009,75,0.45
4.4,15,29,1004,85,0.7
5.2,19,33,999,90,0.9
2,3,13,1019,50,0.05
2.7,5,17,1015,60,0.15
3.5,7,21,1010,70,0.3
4.3,9,25,1005,80,0.5
5.1,11,29,1000,90,0.75
5.9,13,33,995,95,0.95
2.1,4,14,1020,55,0.1
2.8,6,18,1016,65,0.15
3.6,8,22,1011,75,0.3
4.4,10,26,1006,85,0.5
5.2,12,30,1001,90,0.75
6,14,34,996,95,0.95
2.2,5,15,1021,60,0.1
2.9,7,19,1017,70,0.15
3.7,9,23,1012,80,0.3
4.5,11,27,1007,90,0.5
5.3,13,31,1002,95,0.75
2.3,6,16,1015,50,0.1
3,8,20,1010,60,0.2
3.8,10,24,1005,70,0.35
4.6,12,28,1000,80,0.55
